seed,modality,method,nll_per_dimension
826,video,full_token_exact,1.1685483285323728
826,video,diagonal_vae,1.2706285698844355
826,video,coarse_only,1.2793311866827528
826,video,full_token_euler,1.1686585000983607
827,image,oracle,0.9178616838751756
827,image,qalt,0.9179009980923447
827,image,exact_split,0.9179009980923447
827,image,full_token_exact,0.9179009980923447
827,image,diagonal_vae,1.0174596210797175
827,image,coarse_only,1.0211082565002527
827,image,full_token_euler,0.9181849177258465
827,video,oracle,1.119963370676282
827,video,qalt,1.1200522777999182
827,video,exact_split,1.1200522777999182
827,video,full_token_exact,1.1200522777999182
827,video,diagonal_vae,1.233601407324949
827,video,coarse_only,1.2408177622902574
827,video,full_token_euler,1.1202500196277
828,image,oracle,0.9116895518583517
828,image,qalt,0.9117338625991133
828,image,exact_split,0.9117338625991133
828,image,full_token_exact,0.9117338625991133
828,image,diagonal_vae,1.0149918143977243
828,image,coarse_only,1.0188046475950447
828,image,full_token_euler,0.9117094953600231
828,video,oracle,1.1844104216008031
828,video,qalt,1.1845090350471306
828,video,exact_split,1.1845090350471306
828,video,full_token_exact,1.1845090350471306
828,video,diagonal_vae,1.2807306330509558
828,video,coarse_only,1.289760127637876
828,video,full_token_euler,1.1845818795992786
829,image,oracle,0.875052234906375
829,image,qalt,0.8750625477420424
829,image,exact_split,0.8750625477420424
829,image,full_token_exact,0.8750625477420424
829,image,diagonal_vae,0.9861129131314827
829,image,coarse_only,0.9924525471987309
829,image,full_token_euler,0.8751170172368095
829,video,oracle,1.0992133897564311
829,video,qalt,1.099300303284228
829,video,exact_split,1.099300303284228
829,video,full_token_exact,1.099300303284228
829,video,diagonal_vae,1.223429451099369
829,video,coarse_only,1.2279526352325945
829,video,full_token_euler,1.0994110500263399
